time,btceur_open,btceur_high,btceur_low,btceur_close,volume
1602907200000,9732.7,9734.21,9717.36,9728.59,5.912948
1602910800000,9729.27,9738.03,9718.73,9728.35,1.829223
1602914400000,9730.44,9747.14,9718.22,9724.53,7.511181
1602918000000,9727.88,9741.65,9720.0,9727.67,5.900149
1602921600000,9727.67,9737.86,9698.56,9704.77,5.918511
1602925200000,9704.57,9722.22,9690.57,9718.62,5.175483
1602928800000,9720.91,9730.66,9711.43,9730.15,7.713422
1602932400000,9725.68,9731.18,9715.02,9724.35,7.342774
1602936000000,9724.05,9729.51,9704.44,9727.85,9.454915
1602939600000,9727.6,9732.0,9697.14,9708.59,6.461013
1602943200000,9707.78,9736.13,9652.02,9732.26,16.45447
1602946800000,9735.42,9763.41,9708.36,9718.13,12.642814
1602950400000,9713.35,9718.44,9683.63,9707.96,12.143643
1602954000000,9704.41,9719.6,9693.12,9719.6,9.976319
1602957600000,9714.34,9720.0,9711.0,9720.0,4.871393
1602961200000,9720.0,9727.74,9711.99,9722.38,7.770308
1602964800000,9715.69,9728.33,9701.76,9724.82,5.251279
1602968400000,9720.28,9729.0,9711.7,9715.64,1.650938
1602972000000,9714.64,9727.79,9710.24,9722.17,0.866245
1602975600000,9721.98,9732.47,9714.87,9727.37,2.330933
1602979200000,9726.82,9749.82,9716.01,9742.08,1.966852
1602982800000,9744.74,9762.0,9733.86,9760.57,3.191655
1602986400000,9760.55,9760.55,9738.92,9740.23,10.646238
1602990000000,9743.7,9754.01,9737.56,9741.46,2.398027
1602993600000,9740.93,9753.75,9739.97,9742.48,0.556532
1602997200000,9743.25,9759.36,9740.74,9751.72,0.539641
1603000800000,9754.3,9800.0,9750.02,9800.0,9.166889
1603004400000,9800.0,9800.0,9769.56,9797.2,7.617469
1603008000000,9798.65,9810.56,9767.05,9782.39,6.111472
1603011600000,9782.88,9794.77,9759.52,9760.0,14.206127
1603015200000,9760.0,9781.49,9755.0,9781.39,8.910406
1603018800000,9779.56,9790.82,9768.26,9784.8,3.975134
1603022400000,9786.55,9792.17,9772.26,9778.7,4.833692
1603026000000,9778.7,9799.05,9778.7,9799.05,5.012095
1603029600000,9798.55,9830.8,9784.46,9795.0,11.016903
1603033200000,9799.02,9813.74,9786.34,9811.4,3.249023
1603036800000,9809.5,9825.04,9793.01,9822.33,3.423479
1603040400000,9822.55,9832.27,9806.18,9831.74,9.281262
1603044000000,9830.08,9836.88,9800.92,9803.54,8.36822
1603047600000,9801.47,9810.0,9791.08,9794.18,7.825871
1603051200000,9792.91,9804.16,9779.6,9802.79,4.443865
1603054800000,9797.05,9822.54,9793.95,9811.29,7.670282
1603058400000,9809.02,9830.1,9803.0,9821.24,7.807986
1603062000000,9817.75,9849.5,9814.97,9848.58,4.156999
1603065600000,9850.0,9870.0,9798.27,9817.33,22.230418
1603069200000,9815.49,9825.8,9814.68,9817.06,0.561352
1603072800000,9817.06,9828.38,9796.63,9816.18,4.404173
1603076400000,9816.49,9816.49,9779.99,9783.25,2.979279
1603080000000,9781.42,9807.58,9778.05,9801.48,1.633635
1603083600000,9803.74,9810.56,9785.0,9798.0,1.222097
1603087200000,9801.25,9822.18,9789.79,9817.53,1.504199
1603090800000,9817.03,9827.26,9804.1,9814.03,19.354518
1603094400000,9813.14,9816.7,9796.51,9801.96,11.322757
1603098000000,9803.56,9817.42,9781.49,9804.18,11.653371
1603101600000,9806.41,9814.78,9784.95,9793.86,28.407399
1603105200000,9797.64,9814.7,9777.05,9777.55,25.785366
1603108800000,9777.05,9822.5,9765.95,9815.35,21.638913
1603112400000,9817.58,9942.53,9816.3,9923.89,64.542115
1603116000000,9924.19,9949.36,9900.43,9932.28,42.662375
1603119600000,9933.72,10039.5,9916.19,10032.97,85.79098
