time,etheur_open,etheur_high,etheur_low,etheur_close,volume
1603324800000,330.13,335.21,330.13,335.21,119.40474
1603328400000,334.78,336.61,333.87,334.7,100.79467
1603332000000,334.49,334.49,331.98,333.22,120.76282
1603335600000,332.44,334.07,332.43,332.7,135.56204
1603339200000,332.32,334.09,332.03,333.84,105.78547
1603342800000,333.33,335.51,332.66,334.49,82.39751
1603346400000,334.59,335.69,334.0,335.37,300.60571
1603350000000,335.01,335.01,333.71,334.11,146.40403
1603353600000,334.39,338.17,334.39,337.01,303.1394
1603357200000,337.05,338.02,332.5,336.88,307.45543
1603360800000,336.88,346.93,336.06,346.93,609.73067
